company_name,address,email,phone_number,website
Central,"NIRVANA 9 METAMORFOSIS, POST CODE",info@central-telecom.gr,2102855470-2,https://www.central-telecom.gr
CFT CARBON FIBER TECHNOLOGIES P.C.,Kilkis Industrial Area | GR 61100 Kilkis | Greece,info@cft.gr,0030 23410 79319,www.cft.gr
CHRYSANTHAKOPOULOS G. S.A.,"103 Kefallinias Street, 112 52, Athens, Greece",info@ghgroup.gr,2108670588,
CNC Solutions,"19th km Athens Lavrion, 19002, Peania, Greece",info@cncsolutions.com,210 575 00 66,www.cncsolutions.com
code4thought,"Lefkosias Str., Patra 26441",hello@code4thought.eu,2610427549,https://code4thought.eu/
COMPONOUS,"Kontopoulou 11, Florina 53100, Greece",contact@componous.gr,2385044413,https://componous.gr/
Cosmos Business Systems,"44 Bakogianni, 144 52, Metamorfosi, Athens, Greece",cosmos@cbs.gr,2106492800,https://www.cbs.gr
Creative People,"7-9 Anagenisseos St, Nea Philadelphia, GR-14342",milrnd@creativepeople.gr,215 551 3812,https://www.creativepeople.gr
Lambda Automata,"Leoforos Lavriou 148Α - 19002 Paiania, GR",info@delian.ai,2160037848,https://delian.ai/
DETURBO,"Dimokratias Ave., 68 18863 Perama Piraeus, Greece",info@deturbo.com,2104021980,http://www.deturbo.com/
DIMKO ENGINEERING,"6 ΧΛΜ Θεσσαλονικης - Οραιοκάστρου, Θεσσαλονίκη Ελλάδα Τ.Κ 57013",info@dimko.net,+30 2310657310,www.dimko.net
DIOMAR LTD,"Λεωφόρος Βασιλέως Παύλου 6, 166 73, Βούλα",info@diomar.gr,"6 Vasileos Pavlos Pavlou Avenue, 166 73, Voula",https://www.diomar.gr
DOUBLE ACTION DEFENCE S.A.,"11 Vatopediiou Street, 115 23, Athens, Greece",info@doubleaction.gr,2106451417,https://www.doubleaction.gr
DPM Systems Technologies,Μ. Γερουλάνου 116 16452 Αργυρούπολη,info@dpmsystems.com,+30 210 9617153,https://www.dpmsystems.com/
DRAGO BOATS AE,"Lavriou Ave. 5, Koropi-19400 , Athens GREECE",info@drago.gr,2106624249,www.drago.gr
DRONE SOLUTIONS,2 Posidonos str. 144 51 Metamorfosi,info@dronesolutions.gr,210 2851628,https://www.dronesolutions.gr
Defence Standardisation Advice IKE/PC,"Robert Kennedy 36, AGIOS DIMITRIOS 17343, ATHENS-GREECE",info@defstand.com,+306983498906,https://www.defstand.com/
e:misia,"Antoni Tritsi 21 55535, Thessaloniki",info@emisia.com,+30 2310 473374,www.emisia.com
ECC,49TH KAZANTZIDI STR – PC 57001 THERMI THESSALONIKI,info@eccike.com,2310244666,https://www.eccike.com
EGNATIA Foundry S.A.,"Aspros, Polikastro, 612 00, Kilkis",info@egnatiafoundry.gr,23430 95 641-4,http://www.egnatiafoundry.gr/
EIGHT BELLS,"5 Kolokotroni Str., 15451 Neo Psychiko, Greece",info@8bellshellas.com,2106444553,https://www.8bellshellas.com
EL-Translations,"2 Penteli Avenue, 152 34, Halandri, Attica",info@el-translations.com,2106801333 2106815247,https://www.el-translations.com
EL.IN. S.A.,9ο χιλ. οδού Γρεβενών – Κηπουρίου,info@elyn.gr,+302462083237,https://www.elyn.gr
ELBIS,"14th km Thessaloniki-Mudania, 570 01, Thermi",info@elbis.gr,2310 383656,https://www.elbis.gr
Electropneumatic S.A.,"Δήμητρας 11 & Μακρών Τειχών 7, 185 40, Πειραιάς",info@electropneumatic.gr,"2104520341, 2104529107",https://www.electropneumatic.gr
ELMON Α.Ε.,"γίου Λουκά 31Α, 190 02, Παιανία Αττικής",info@elmon.com,2111002860,https://www.elmon.com
ELVIK,"FILELLINON 12, PIRAEUS, GR 18536, GREECE",info@elvik.gr,210 4520655 - 656,www.elvik.gr
EMEK,"Megaridos, Aspropyrgos 19300",info@emek.gr,2105595084,https://www.emek.gr
EMMIS,"11 Andrea Metaxas, 145 64, Kifissia",emmis@emmis.gr,2103460222,https://www.emmis.gr
EMTECH,"32 Korinthou & S. Davaki Str., 14451, Athens",info@emtech.global,2106528527,https://emtech.global/space/
ENDEAVOR INTEGRATED SOLUTIONS PC,"Ypsilantou 10A, 15351 Pallini, Greece",marine@eis.gr,210 0086980 - 986,https://endeavor.gr/
EODH ΑΕ,Head Office,eodh@otenet.gr,+30 2399051114,www.eodh-protection.com
EPE,"24 Dervenakion 24, 185 45, Piraeus",epe@epe.gr,2104060000,https://www.epe.gr
ErgoAlarm,"STOURNARA 13, THESSALONIKI,  55632",info@ergoalarm.gr,2310-936750,https://www.ergoalarm.com
ERGOMATIC S.A.,13 Agiou Petrou Avenue,ergomatic@ergomaticltd.com,+30 210 4408000,www.ergomaticsa.com
ERGON,"Agia Sofia 2nd vertical, postal code 19300, Aspropyrgos, Attica",ergon@ergonindustries.com,210 5595570,http://www.ergonindustries.com/
ERGOTEM S.A.,"Loutsas 60, 196 00, VI.PE. Mandras Attica",ergotem@ergotem.gr,"2105555835, 2105557636",https://ergotem.gr/
ESCAPE24,"21 Athinon Avenue, 104 47, Athens, Greece",info@escape24.grq,2105228716,https://www.escape24.gr
EUROTRADE,"47-49 Persefonis str., 11854, Athens, Greece",info@eurotrade.gr,2103411063,https://www.eurotrade.gr
EYEONIX,"Vourvachi 34, 117 43, Athens, Greece",info@eyeonix.com,2109240425,https://www.eyeonix.com
f society,"14 Kanigos st , 18534, Kastela Pireas",info@fsociety.gr,2104225879,http://www.fsociety.gr/
FARAD,Alon 14 str.,info@farad.gr,210 4227410 /+30 210 4227303,https://www.farad.gr
FEAC,"61, Afstralias Str. P.O. 26442 Patras  Greece",info@feacomp.com,26130 19794,https://www.feacomp.com
FIDAS,"87 Loutrou, 136 78, Acharnai, Attica",fidas@fidas.gr,2102462347-50,https://www.fidas.gr
FOTINAKIS,"SFAKTIRIAS 24A-26,  PIRAEUS 185 45 - GREECE",info@dkfotinakis.com,"2104617885 , 2104616615",https://www.fotinakis.gr
Foxtrot,"Smyrnis 61, Nea Ionia",info@foxtrot.gr,210 2776968,https://www.foxtrot.gr
FUELICS P.C.,"24B Papadiamantopoulou 24B, 115 28, Athens",info@fuelics.com,2107779260,https://www.fuelics.com
General Shipping SA,"41 Ag. Dimitriou Str., 185 46 Piraeus (7th fl.) – GREECE",da@generalshipping.gr,210 4629364,www.generalshipping.gr
Geosystems Hellas S.A.,"Υμηττού 225, Τ.Κ. 11632, ΑΘΗΝΑ",mail@geosystems-hellas.gr,+30 210 2846145 -144,www.geosystems-hellas.gr/
GERCO,"4 DIMITSANAS ST, 18346 MOSCHATO, GREECE",gerco@gerco.gr,210481511,https://www.gerco.gr
Get 3D Ι.Κ.Ε.,"ΒΙΠΕ Ηρακλείου Οδός Β, 10 Ηράκλειο Κρήτης, 71601",info@get3d.gr,210 9942437 & 2815201814,www.get3d.gr
GIZELIS S.A.,"Skhvatari Boeotia, 32009, Location Kormatzini",info@gizelis.com,2262058675,https://www.gizelis.com
GLASSART,16th klm. SPATON AVE – 15351 PAIANIA,info@glassart.gr,2106669112,https://www.glassart.gr
GMC,"IROON SKOPEFTIRIOU 161 21 KESARIANI, ATHENS",ath@kampakas.gr,210 7522066,https://www.gmc.gr
GRANTEX,"Terma Orpheos, 122 41, Aegaleo, Athens",info@grantex.gr,210 3465942,https://www.grantex.gr
CHARLAS INTERNATIONAL TRANSPORTATION S.A.,"39 D. Gounari Street, 185 31, Piraeus",info@harlas.gr,"2109648771-5, 2104112135-7",https://www.harlas.gr
HELLAS CARDAN,"Str. Oraiokastro, Ag. Petrou 8, 564 30, Thessaloniki, Greece",info@hellas-cardan.gr,2310682702,https://www.hellas-cardan.gr
HELLENIC AVIATION INDUSTRY S.A.,"P.O.Box 23 320 09, Schimatari, Boeotia",contact@haicorp.com,2262052000,https://www.haicorp.com
Hellenic Defence Systems SA,"111, Ilioupoleos str 172 37 – Imittos, Attica, Greece",info@eas.gr,2109799000,http://www.eas.gr/
HELLENIC INSTRUMENTS,"3rd km Koropiou-Varis, 19400, Koropi, Greece",administration@hellenicinstruments.com,210 6021630,https://www.hellenicinstruments.com/
HTR,"L.Kifisias 188 , 14562 Kifisia Greece",sales@htr.gr,2108010033,https://www.htr.gr Twitter
HYDRUS ENGINEERING S.A.,"515 Mesogeion Avenue, Agia Paraskevi, 15343 GR",mail@hydrus-eng.com,2108031850,www.hydrus-eng.com
IANUS,"Ελευθερίου Βανιζέλου (Πανεπιστημίου) 56, Μέγαρο ΕΡΜΗΣ, γραφείο 24, 10678 Αθήνα",gk@ianus-consulting.com,2110016529  & 6932624981,www.ianus-consulting.com
iCOMAT,"Char. Trikoupi 18, Athina 106 79",info@icomat.co.uk,+306947503765,https://icomat.co.uk/
IFAISTUS,"45 Methonis Str., 18545 Piraeus, Greece",info@ifaistus.gr,210 4614299  / 210 4614058 / 210 4615699  / 210 4628964,https://www.ifaistus.gr/
INFO QUEST TECHNOLOGIES,"25 Alexandrou Pantou Street, 176 71 Kallithea, Athens, Greece",sales-info@quest.gr,2109299400,https://www.infoquest.gr
InQuality,"Κοραή 31, 18345 Μοσχάτο, Αθήνα",info@inquality.gr,,inquality.gr
IntelligenX,"17 Kyprou st, Vrilissia, 15235",info@biomdxintell.com,+302106138039,http://www.biomdxintell.com/
INTERMAT,"238, SYNGROU AVENUE, KALLITHEA,17672,ATHENS,GREECE",info@intermatstealth.com,2109402977,https://www.intermatdefense.com/
INTERNAFTIKI,Αλιπέδου 6 Πειραιάς 185 31 Ελλάδα,info@Internaftiki.com,210 4126997,http://www.internaftiki.gr/el/contact-us
INTGLOBAL ΕΠΙΚΟΙΝΩΝΙΕΣ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,"ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΕΩΣ 84Α, 15231 ΧΑΛΑΝΔΡΙ",info@intglobal.gr,2109948790,www.intglobal.gr
INTRACOM DEFENSE (IDE),"21 Km Markopoulou Ave., 19441 Koropi, Attica, Greece",info@intracomdefense.com,+30 210 667 8000,http://www.intracomdefense.com
Just One,"17, Armeni Vraila Str. 11473 Athens, Greece",info@justone.gr,(+30) 210 64 21 455,https://www.justone.gr/
KEVE,"Tatoiou 342, 13677, ACHARNES, GREECE",info@keve.gr,2102442358,www.keve.gr
KNDS GREECE,"Road C-6, P.O. BOX 91, 1st Industrial Area 38500 Volos, Greece",info@knds.gr,2421078620,https://www.knds.com
KOUTSOGIANNIS,"6th km OLD NATIONAL ROAD, PO 38500",info@koutsogiannis.gr,2421095708,https://www.koutsogiannis.gr
Kritonix AI,"Coho, 10, Stratigou Nap. Zerva str, GR-54640, Thessaloniki",zouzawa@gmail.com,0030 6974 830330,http://www.kritonix.ai/
KYNOSOURA DOCKYARD S.A.,"38, Akti Poseidonos, 185 31 Piraeus",info@kynd.gr,+ 30 210 46 71 844 και + 30 210 45 58 888,http://www.kdc.com.gr/
LABOR,"84, ETHNIKHS ANTISTASEOS, PC.15351 PALLINI ATHENS",labor@labor.gr,2106033377,https://www.labor.gr/
LASERMARK,"71 Krioneri Av, 145 68 Krioneri Attica, Greece",info@lasermark.gr,2108160700,https://www.lasermark.gr/
LIVADAROS BROS,"50, 25th MARTIOY STR.",info@livadaros.gr,210 4082720 – 21 – 22,https://livadaros.gr/
LOGSTAIL,"Theofanous 12, 151 23, Athens",info@logstail.com,2160037838,https://www.logstail.com
LOUKIS PIPING,"15 Nikoletopoulou P. str., 18540, Piraeus",loukis@loukis-piping.gr,2104222443,https://www.loukis-piping.gr/
Lykomitros steel,"Άνω Σπαρτιά, 385 00, Σέσκλο, Βόλος",info@lykomitros-steel.gr,2421096739,https://www.lykomitros-steel.gr
M.M. NAVEP S.A.,"Ave. 421 Republic Street, 188 63, Perama",info@mmnavep.gr,2104410269,https://www.mmnavep.gr
MALLIONDA SA,33 IRODOTOU Str. PC 15122 MAROUSI,info@mallionda.gr,210-8050055,http://www.mallionda.gr/
MARAC ELECTRONICS S.A.,"165 M.Kouri 165 & Tripoleos, 188 63, Perama, Piraeus",info@marac.gr,2104314361,https://www.marac.gr
MAREL ELECTRONICS SA,"Sotiros Dios Str., Piraeus 18535, Greece",info@marel.gr,2104123943,www.marel.gr
Maritime Technology Innovative Solutions (MTIS),"Agiou Dimitriou 41, Piraeus, 18546, Greece",evolanaki@mtis.tech,2164003001,https://www.mtis.tech/
MENGIA,"Β.Ι.ΠΕ. Σίνδνο, Φάση Γ, Ο.Τ. 39Α, οδός ΔΑ11, Τ.Θ. 1324, Τ.Κ. 57022 Θεσσαλονίκη",info@mengia.gr,2310 796730,https://www.mengia.eu
MERCURY S.A,"148 Mompferatou Street, 114 75, Athens, Greece",info@mercury-insbrokers.gr,2106466641,https://www.mercury-insbrokers.gr
METKA,"Artemis 8, 151 25, Maroussi",info@metka.com,2102709200,https://www.mytilineos.gr
MEVACO,"Thesi Prari – Moustaki, Aspropirgos Attika, P.O.  19300",info@mevaco.gr,210 5596623 – 31,https://www.mevaco.gr/
MIKRON MACHINING HELLAS,"9 TAYROU Str, TAYROS, pc",info@mikron.gr,"2103479840, 6974034705",https://mikron.gr/
MILTECH HELLAS S.A.,"I. Metaxa 90, Karellas-Koropi, 19441 Attiki, GREECE",miltech@miltech.gr,210 6647320,https://www.miltech.gr/
MorphiTech,"SPETSON 10, 11362 ATHENS",info@morphitech.com,2130432877,https://www.morphitech.com/
MORTEK Telecommunications LTD,Agias Marinas 110 19002 Paiania,info@mortek.gr,210 9408601-2,https://www.mortek.gr/
MOTION HELLAS LTD.,"Filippou Litsa 8, 152 34, Halandri, Athens, Greece",info@motion.gr,2106858455,https://www.motion.gr
MOTOCRAFT SA,"48 Alimou Ave., 17455, Alimos",motocraft@motocraft.gr,2109888288,https://www.motocraft.gr/
MPD GREECE M.A.E.,"Varis Avenue - Koropiou 2nd Street, 19400 Koropi Attica",info@melitapower.com,2169005141 – 42,https://melitapower.com/
MULTIMARINE SERVICES,POLYTECHNIOU 17A 54626 THESSALONIKI,stelios.drakakis@multimarine.com.cy,+35725336520,http://www.multimarine.com.cy/
NAMCO,"16th km Thessaloniki-Polygyros Rd, Nea Redestos, Thessaloniki – GREECE Thermi 57001, PO.BOX",namco2@otenet.gr,2310461513,https://www.namco.gr
NANOPHOS A.E.,"Lavrion Technological & Cultural Park, 195 00, P.O. Box 519, Lavrion, Attica",info@nanophos.com,22920 69312,https://www.nanophos.com
NAUS HELLAS,"19 Sokratous 19, 186 48, Drapetsona",info@naushellas.com,"2104328716, 6934205567",https://www.naushellas.com
NAX,"10 Monahou Samouil, 18863 Perama, Greece",info@nmw.gr,2104316628,https://www.nmw.gr
Netcom ABEE,12 Litous Koropi 19400,info@netcomsa.gr,2196627900,https://www.netcomsa.gr
NORATEX,"17o km Athens-Spaton L., 153 51, Pallini Attica",georgios@noratex.gr,2106030221,https://www.noratex.gr
OBRELA,"117 Argos & 33-35 Timaiou Street, 104 41, Athens, Greece",info@obrela.com,"2109573750, 2118003773",https://www.obrela.com
OCEANKING,"31 Bouboulinas str., 185 35, Piraeus, Greece",info@oceanking.gr,210 4292774,https://www.oceanking.gr
OHB Hellas single member L.L.C.,"Ifestou 3, 15124 Marousi, Greece",info@ohb-hellas.gr,210 6100600,https://www.ohb-hellas.gr
Olympia Electronics,"286 Andromachi, 176 74, Kallithea, Athens, Greece",info@olympia-electronics.gr,+30 2353051200,https://www.olympia-electronics.com
OLYMPIC MARINE,"77th km Athens - Sounion, 195 00",info@olympicmarine.gr,2292063700,https://www.olympicmarine.gr
PANOU GROUP,"18 Efstathiou Street, 115 24, Athens, Greece",info@panou.gr,2106994030,https://www.panou.gr
Paramount Industries Greece S.A,"Solonos 12 & Irakleitou, 10673, Athens",greece@paramountgroup.com,2103643104,https://www.paramountgroup.com/greece/
PASS DEFENCE LTD,"316 Akti Themistokleous, 185 39, Piraeus",info@defence.gr,2104532134,https://www.defence.gr
PAVLOY ENGINEERING MECHANICAL,"3ο χλμ. Λιβαδειάς - Αθηνών, 321 00, Λιβαδειά",info@pvlmech.gr,2261026384,https://pvlmech.gr/
PDK ENGINEERING,"18 Plutarchou 18, 106 76, Kolonaki",pdk@pdkeng.com,2107211818,
PETROS PETROPOULOS,"Ιερά Οδός 96 - 104, 104 47, Αθήνα",contact@petropoulos.com,2103499200,https://www.petropoulos.com
PLAN - AERO,"Yakoomi & Vassiliou Fate, 19600, Mandra, Attica",asavvinidis@hotmail.com,2105555293,
PLANET,"54 Á, AKAKION STR , 15125",planet@planet.gr,+30-210-6905000,http://www.planet.gr/
POLYECO,"16th km N.E.O. Athens-Corinth, 193 00, Aspropyrgos",info@polyeco.gr,2105530600,https://www.polyeco.gr
POSEIDON ELECTRONICS,"27, Chrisopigis Ave., Chania Crete, Postal Code",info@poseidonelectronics.gr,0030-2821076363,http://www.poseidonelectronics.gr/
Praxis Factor,"20-22, 28 Oktovriou str. Athens 10677 Greece",info@praxisfactor.com,2114054030 - 6932244412 / 6937055983,https://praxisfactor.com/
PRESCO HYDRAULICS,"53 Spyrou Patsis, 104 47, Athina",info@presco-hydraulics.gr,2114025337,https://www.presco-hydraulics.gr
PRIORITY,"49-51 Sophocles Venizelou Ave., Lykovrysi,  P. O. 141 23",info@priority.com.gr,2102509900,https://www.priority.com.gr
PRISMA ELECTRONICS,"87 Republic Avenue, 681 32, Alexandroupolis",defense@prismael.com,2551080400,https://www.prisma.gr
PROBOTEK,"El. 17 Venizelos Street, 491 00, Corfu  , 300 Eleftheriou Venizelou Kallithea, 17675, Athens, Greece",info@probotek.eu,"2661042364 , 210 9400920",https://www.probotek.eu
PROSOMOIONO,"Panepistimiou 59, Athens",Info@prosomoiono.gr,+30 2103225022 & +30 6972519628,www.prosomoiono.gr
PSA MARINE BUREAU,"86, Filonos str., 185 36, Piraeus, GREECE",dstamou@psa-marine-bureau.com,210 4294832,https://psamarinebureau.com/
PSYCTOTHERM,"Chrysostomou Smyrni 70-72 and Vasilikon 39 Piraeus, 18540",info@psyctotherm.gr,2104111186,https://www.psyctotherm.gr/
PYLETECH UV,"24 Filellinonon, 105 57, Athens, Greece",staba1062@gmail.com,2103243944,
PYROGENESIS S.A.,"Lavrion Technological Park, 195 00, Lavrion",mvardavoulias@pyrogenesis-sa.gr,2292023477,https://www.pyrogenesis.gr
QControl,"Lefkados 2b, Moschato, 18346",info@qcontrol.gr,+30 2109416200,https://qcontrol.gr/
QUALCO,"66 KIFISIAS Avenue, BUILDING B, 15125, MAROUSSI, ATHENS, GREECE",info@qualco.eu,+302106198903,http://www.qualco.eu/
QUALITY & RELIABILITY,"11B Konitsis, 151 25, Maroussi",info@qnr.com.gr,2108029409,https://www.qnr.com.gr
Raycap A.E,"Telou & Petroutsou 14, 151 24 Marousi, Athens",info@raycap.gr,2106152000,https://www.raycap.com
RAYMETRICS,"SPARTIS 32, METAMORFOSI GR144 52",info@raymetrics.com,+30 2106655860,https://raymetrics.com/
REALISCAPE TYPORAMA,"Panachaidos Athinas 17, Rio, 26442 Patras - Greece",info@realiscape.ch,2610993460,https://www.realiscape.ch
ROTA,"Anthousas Avenue 4, 15351, Pallini",info@rota.gr,2111801801,https://www.defea.gr
SAFEDOOR,"34ο χλμ. Αθηνών - Λαυρίου & Ηφαίστου 77 ΒΙΟ.ΠΑ Καλυβίων Αττικής Τ.Θ. 214, Τ.Κ. 19010",v.karaouza@safedoor.gr,22990-47800,
Salamis Shipyards,"48, Tefkrou Street, Ampelakia, Salamis Island 18902, Greece",info@salamis-shipyards.gr,+30 210 4671604,http://www.salamis-shipyards.gr/
Saracakis Group of Companies,"71 Athinon Avenue, box 10447, Athens",info@saracakis.gr,2103483300,https://www.saracakis.gr/
Satways Ltd,"15 Megalou Str. , Iraklio  Attikis, 14122, Greece",info@satways.net,2106840036,https://www.satways.net/
SCYTALYS S.A.,"6-8 Omirou str., GR 15451, Neo Psychiko, Athens, Greece,",info@scytalys.com,2109647756,https://www.scytalys.com
SEABRIGHT,"Βασιλικών & Υμηττού 51 ,18540, Πειραιάς Ελλάδα",sales@seabright.gr,2104082208,https://www.seabright.gr
Seeders,"Περικλέους 49, Νέο Ψυχικό, ΤΚ 15451",support@seeders.gr,+30 2169002983,https://www.seeders.gr/
SGL ENGINEERING LTD,"35 Megaloou Alexandrou Avenue, 122 44, Aigaleo, Attica",info@sgleng.gr,2105311461,https://www.sgleng.gr
SHIPMANAGEMENT EXPERT SYSTEMS,"25 Akti Miaouli 25, 185 10, Piraeus",ses@vardakis.com,2104133170,https://www.vardakis.com
SIELMAN S.A,"1st Industrial Area of Volos, Road C6, 38500 Volos, Greece",info@sielman.com,2421095118,https://www.sielman.com
SingularLogic,"Achaia 3 & Troizinias, 145 64, Kifissia",info@singularlogic.eu,2106266500,https://portal.singularlogic.eu/
SKF HELLAS S M S.A.,"128 Sygrou 128, 117 45, Athens, Greece",webmastergreece@skf.com,2106897500,https://www.skf.com
SKLERO S.A.,"BI.PE. Thessaloniki, 570 22, Sindos, P.O. Box",info@sklero.gr,"2310797646 , 2310797656",https://www.sklero.gr
SLOA,"Vassilissis Amalias 2, Kalamata, Greece",nsfiris@sloa.com.cy,+30 27210 28025,http://www.sloa.com.cy/
SOTIRIA Technology,"Omonia Square 9 and 28is Oktovriou 5, 10431, Athens ,Greece",info@sotiria.tech,-,http://www.sotiria.tech/
SOUKOS ROBOTS,"9th km E.O. Larissa - Thessaloniki, 415 00, Larissa",contact@soukosrobots.gr,2410541028,https://www.soukosrobots.gr
SPACE CONSULTING,"312, Messogion Ave., GR - 153 41 Ag. Paraskevi",sc@spaceconsulting.gr,2106504300,http://www.spaceconsulting.gr
Space Hellas S.A.,"312, Messogion Ave., GR - 153 41 Ag. Paraskevi",info@space.gr,2106504100,https://www.space.gr/
SPIRAL FLEX,"Omorfochori, 415 00, Larissa",info@spiralflex.gr,2410575352,http://www.spiralflex.gr/
SPIRIT AERONAUTICAL SYSTEMS.SA (SAS Technology),"Kantharou 2, 18537 Piraeus",info.sas@spirit-world.grq,2114181000,https://www.sas-tech.gr/
SPORT LINE,"39 Gravias, 546 45, Thessaloniki, Greece",dragonas@sportlinegr.com,2310842790,https://www.sportlinegr.com
SSA,"Ethnikis Antistaseos str., 15231 Halandri",ssa@ssa.gr,2106725106,https://www.ssa.gr/
SSMART,"Thesi Vathy Pigadi, 196 00, Mandra, Attica",info@ssmart.gr,2105516900,https://www.ssmart.gr/
STELMA T.S.A.,"ΠΟΛΥΤΕΧΝΕΙΟΥ 21, ΤΚ 54626 ΘΕΣΣΑΛΟΝΙΚΗ",info@stelma.gr,21 POLYTECHNEIOU STR. PC 54626 THESSALONIKI,https://www.stelma.gr/w
